Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec,gid,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,mu,sigma_d,rel_sigma_d,s_mu
Mark_256,2460432.34369,0.51,0.1,55.22,5.88,-0.17700000000000002,0.126,0.475,0.098,178.80675,16.90822,3926242743026796032,235.38434,231.30383,238.94604,6.8588878303914385,3.821105000000003,0.016233471606479866,0.0352505357041366
Mark_34,2460426.34805,0.34,0.05,55.91,4.66,-0.126,0.04,0.314,0.055999999999999994,173.76079,16.01056,3972575613264978304,244.28363,242.92961,245.463,6.9394718244522835,1.2666949999999986,0.005185345411806754,0.011259834495550089
Mark_89,2460438.38881,0.29,0.1,39.31,11.29,0.056999999999999995,0.10300000000000001,0.28500000000000003,0.104,185.9707,19.05754,3947332990955068928,245.71324,244.65047,246.72578,6.9521427930642155,1.0376549999999867,0.004223032507324337,0.009170198574145066
Mark_33,2460461.41779,0.24,0.07,14.38,8.68,0.213,0.068,0.117,0.074,196.11522,22.33433,3944294078254914816,250.60619,249.20541,251.94455,6.994958969556464,1.369569999999996,0.0054650286172101175,0.011867158859488561
Mark_86,2460830.39351,0.12,0.05,-7.06,13.26,0.11900000000000001,0.051000000000000004,-0.03,0.042,191.77885,20.02359,3954204972987975424,252.45554,251.44989,253.4212,7.010924527465516,0.9856549999999942,0.0039042716194700824,0.008478018100936645
Mark_248,2460432.3248,0.36,0.09,37.5,7.45,0.094,0.097,0.35200000000000004,0.09,174.27348,15.68174,3972502839339169024,252.63031,251.571,253.73105,7.012427274961441,1.0800250000000062,0.004275120431907027,0.00928330606524534
Mark_118,2460461.40406,0.42,0.06,58.27,3.84,-0.189,0.068,0.378,0.052,195.64954,20.84596,3943279194662795648,254.33171,253.174,255.55095,7.027002556275194,1.1884749999999968,0.004672932840344591,0.010147144734330723
Mark_95,2460432.31264,0.29,0.08,30.58,8.12,0.13899999999999998,0.045,0.253,0.08499999999999999,174.23676,16.17048,3972629077018036864,254.33427,248.54463,261.8845,7.027024413327119,6.669934999999995,0.02622507379756568,0.05694702418894165
Mark_96,2460460.41568,0.45,0.04,59.83,2.28,-0.22399999999999998,0.048,0.393,0.031,198.50754,21.06732,3943476728798598016,259.00226,257.89923,259.98465,7.0665177683067775,1.0427099999999996,0.004025872206674952,0.008742070421032996
Mark_1,2460508.28233,1.1,0.04,66.38,1.09,-0.745,0.036000000000000004,0.8059999999999999,0.046,194.20181,21.14241,3942777435107365632,260.7389,258.6356,262.5503,7.0810291450065765,1.957349999999991,0.007506935098675307,0.01630110244680264
Mark_150,2460460.41163,0.28,0.04,61.06,4.48,-0.147,0.038,0.234,0.044000000000000004,198.06357,21.00644,3943483635105976192,266.22488,264.89703,267.44156,7.126243199754004,1.2722650000000044,0.00477891097180701,0.010377273322813452
Mark_277,2460432.33698,0.25,0.07,39.97,8.07,0.044000000000000004,0.092,0.246,0.066,178.80257,16.72225,3926134784728480256,267.09735,264.37018,269.59293,7.1333478960019185,2.6113750000000095,0.009776866000355336,0.021230194771309188
Mark_18,2460426.42901,0.34,0.05,48.9,3.88,-0.046,0.066,0.338,0.045,190.53494,20.30323,3954448858411184512,271.78116,270.76917,273.0127,7.171096739693446,1.1217650000000106,0.004127456811207997,0.008962658587008124
Mark_272,2460461.33587,0.28,0.06,46.3,6.76,-0.013,0.07100000000000001,0.28300000000000003,0.065,185.61534,18.53669,3947290792900428672,273.48398,272.2488,274.7955,7.184659457709779,1.2733499999999935,0.004656031406300266,0.010110443736622213
Mark_45,2460438.43699,0.08,0.03,36.17,12.63,0.025,0.037,0.077,0.031,198.83101,21.90661,3943684570856057984,274.9302,273.52054,276.52588,7.1961122400135125,1.5026699999999948,0.0054656418247249474,0.011868490422688322
Mark_191,2460438.32729,0.4,0.04,69.9,2.93,-0.304,0.037,0.257,0.044000000000000004,179.37923,16.02372,3925288573092374144,275.47177,273.26172,277.545,7.200385497583227,2.1416399999999953,0.00777444454653192,0.016881991832108204
Mark_282,2460460.36083,0.38,0.09,61.65,6.81,-0.207,0.076,0.315,0.09,191.05409,21.70998,3954711023214738688,277.45782,275.94907,279.04175,7.215984848399836,1.5463399999999865,0.005573243529412818,0.01210214455563495
Mark_206,2460460.42962,0.25,0.05,66.4,5.4,-0.169,0.055,0.183,0.036000000000000004,199.19226,21.83499,3943645916150426880,277.60406,276.55142,278.66135,7.21712906724807,1.05496500000001,0.003800250615931229,0.008252139361741833
Mark_225,2460460.40006,0.26,0.08,37.77,9.51,0.064,0.055,0.249,0.08099999999999999,197.23097,22.05471,3943842763091327232,281.86737,280.36923,283.48395,7.250224016300935,1.5573599999999885,0.0055251517761704325,0.011997714640343845
Mark_216,2460438.37881,0.33,0.04,38.47,3.31,0.074,0.116,0.321,0.027999999999999997,185.22177,18.36675,3947190428104948096,282.3701,280.54486,283.64334,7.25409353816489,1.5492399999999975,0.0054865582439500415,0.01191390984994149
Mark_127,2460459.4265,0.17,0.06,3.72,10.59,0.173,0.06,0.023,0.036000000000000004,199.97675,21.85439,1442634851362334976,283.90445,282.76242,285.23843,7.265860999179097,1.238004999999987,0.0043606396447818515,0.009469008676486569
Mark_72,2460459.35757,0.42,0.05,22.76,3.41,0.297,0.052,0.302,0.048,192.54263,20.07625,3942279532434147840,284.23035,282.93503,285.9635,7.268352249269332,1.5142350000000135,0.00532749229630127,0.011568502533328624
Mark_308,2460431.28536,0.05,0.09,-15.12,61.44,0.042,0.10200000000000001,-0.024,0.06,173.14359,16.22173,3973353960122615168,289.0822,279.7718,297.74872,7.305106755832176,8.988460000000003,0.031093093936603512,0.0675177956098318
Mark_69,2460460.40407,0.28,0.06,46.76,6.3,-0.017,0.027,0.28300000000000003,0.06,197.53357,20.926,3943153227565962880,295.05457,293.55643,296.36578,7.349511728334026,1.4046749999999975,0.004760729515221531,0.010337792791473269
Mark_17,2460459.3808,0.16,0.08,54.35,17.15,-0.053,0.154,0.156,0.06899999999999999,196.81131,20.59822,3943038745213593088,295.2673,277.70007,322.64917,7.3510767638482015,22.474550000000022,0.07611594646613433,0.16528367767542726
Mark_35,2460438.31047,0.45,0.06,34.43,4.11,0.163,0.095,0.422,0.058,178.98677,15.56845,3925242634122144384,296.05624,283.40295,311.21234,7.356871095862388,13.904695000000004,0.04696639733045317,0.10198623597745714
