Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec,gid,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,mu,sigma_d,rel_sigma_d,s_mu
Mark_294,2460461.3242,0.17,0.08,27.51,15.41,0.098,0.117,0.13899999999999998,0.049,185.26663,19.91669,3951981107642044928,773.21,736.01984,814.64496,9.441487310827682,39.31255999999996,0.050843315528769625,0.1104048568790528
Mark_301,2460459.37111,0.17,0.03,42.11,5.99,0.017,0.04,0.169,0.034999999999999996,195.3929,21.76202,3944154818235478272,804.72864,791.9206,817.0139,9.528247289924344,12.54665,0.015591156293381082,0.0338557657235328
Mark_116,2460459.32306,0.31,0.04,28.12,3.73,0.16999999999999998,0.05,0.255,0.033,184.40889,19.57923,3950456909647893888,808.7056,787.84296,835.5669,9.538952252282883,23.861970000000042,0.02950637413664508,0.06407227734258891
Mark_245,2460438.33731,0.86,0.04,63.61,1.2,-0.519,0.033,0.683,0.038,179.55417,16.23754,3925386189108901760,844.76733,831.9786,858.6388,9.633685549415322,13.330099999999959,0.015779611174120522,0.034264990297497175
Mark_302,2460460.35114,0.29,0.09,73.27,9.49,-0.23900000000000002,0.099,0.158,0.055999999999999994,185.33888,19.54846,3950422824787515520,847.4918,836.38055,860.1625,9.640677524157429,11.890975000000026,0.014030784722636875,0.030467461909068207
Mark_264,2460431.27584,0.4,0.14,34.18,10.82,0.146,0.054,0.368,0.146,172.38141,16.22388,3967385093748323328,855.9589,840.86084,873.1501,9.66226455976583,16.14462999999995,0.01886145467965804,0.04095712844021876
Mark_198,2460459.29594,0.45,0.07,48.34,4.88,-0.052,0.1,0.44400000000000006,0.074,179.67728,16.81602,3926192680888089088,856.13116,844.61444,867.05304,9.662701520235684,11.219300000000032,0.01310465092755184,0.02845638792552047
Mark_25,2460829.33374,0.2,0.03,68.72,4.81,-0.149,0.034,0.13699999999999998,0.033,190.68454,19.247,3948125670118919936,881.9911,867.5829,896.2514,9.727321013865502,14.334249999999997,0.016252148122583094,0.035291091243560654
Mark_51,2460461.38112,0.08,0.06,43.26,28.27,0.005,0.075,0.082,0.056999999999999995,194.34177,21.59279,3942828601053975040,891.9019,877.4112,902.9073,9.751585445470274,12.748049999999978,0.01429310779582371,0.031037089224872933
Mark_192,2460459.37755,0.26,0.03,68.16,2.8,-0.188,0.02,0.179,0.03,196.62993,20.90077,3943247618063320576,898.4979,874.1532,919.49207,9.767585331991365,22.66943500000002,0.02523037059964194,0.05478705363899265
Mark_79,2460461.35341,0.27,0.04,44.59,4.75,0.004,0.05,0.272,0.044000000000000004,187.62355,18.77921,3948575748332376448,924.56616,911.102,937.14325,9.829689969011193,13.020624999999995,0.014082956486315697,0.030580751454452573
Mark_168,2460460.38925,0.1,0.06,86.29,20.5,-0.097,0.055,0.013,0.082,196.41862,21.67955,3944179591606733696,926.2584,910.1009,943.3891,9.83366079755288,16.64409999999998,0.01796917577211713,0.039019569410900366
Mark_56,2460460.35637,0.33,0.03,53.72,2.63,-0.1,0.037,0.319,0.03,185.62071,19.46568,3947405043326381440,945.3661,930.9523,963.11304,9.878000124132642,16.08036999999996,0.01700967487621987,0.03693603968855333
Mark_9,2460426.42202,0.13,0.09,-26.28,27.64,0.077,0.08,-0.101,0.091,188.00117,20.81871,3949432542768145280,947.9125,925.4183,967.5511,9.883841251452981,21.066399999999987,0.022223992193372264,0.04825878587721259
Mark_5,2460426.43407,0.22,0.13,19.77,21.54,0.17099999999999999,0.135,0.14200000000000002,0.123,193.23315,21.16364,3942750737590666624,968.6996,951.3056,988.7725,9.930945602029695,18.733450000000005,0.019338760953344053,0.04199358584441695
Mark_166,2460426.3763,0.28,0.08,45.79,8.08,-0.008,0.055,0.28300000000000003,0.076,172.40683,15.99918,3967368394915479040,1027.5295,1007.7968,1055.837,10.05897149582231,24.020100000000014,0.023376555125667935,0.0507615444849238
Mark_21,2460460.4186,0.43,0.06,57.88,4.36,-0.186,0.043,0.386,0.068,198.6741,20.79252,3940465510047354752,1065.2689,1047.9658,1087.1874,10.137296240966036,19.61080000000004,0.018409248594415964,0.039975175402700236
Mark_19,2460426.4314,0.32,0.07,51.94,5.95,-0.077,0.056999999999999995,0.314,0.066,192.17618,21.61724,3955014350985048448,1104.1305,1075.2445,1130.269,10.21510203399692,27.512249999999995,0.02491757088496332,0.05410781768886348
Mark_48,2460460.4327,0.37,0.07,64.64,5.59,-0.234,0.078,0.28600000000000003,0.065,199.35889,21.29277,3940586731204294400,1104.5231,1090.0397,1119.6233,10.215874015693785,14.791799999999967,0.013392024123352391,0.02908041089143588
Mark_54,2460461.35736,0.3,0.04,49.29,4.28,-0.045,0.022000000000000002,0.3,0.045,187.90747,18.47875,3947802654219709056,1120.514,1066.3673,1183.1942,10.24708643547884,58.41345000000001,0.05213094169283027,0.11320090156808174
Mark_269,2460460.34099,0.61,0.08,59.32,3.77,-0.292,0.046,0.5349999999999999,0.087,185.14743,18.55286,3947241765849806464,1153.9628,1128.8248,1174.6285,10.310959044033014,22.901849999999968,0.019846263675050848,0.04309561400235767
Mark_59,2460481.35127,0.1,0.06,44.11,19.78,0.003,0.062,0.101,0.055999999999999994,195.59358,20.45045,3941754653071412096,1179.8351,1157.9346,1211.8119,10.359106561257365,26.93864999999994,0.02283255515961505,0.04958026356786218
Mark_234,2460460.42097,0.19,0.05,60.18,7.06,-0.098,0.052,0.167,0.044000000000000004,198.82893,21.44806,3943515830181208704,1277.1257,1247.9319,1309.376,10.531168222142291,30.722049999999967,0.02405561958388275,0.05223611422022038
Mark_104,2460460.3814,0.28,0.03,52.3,3.36,-0.07100000000000001,0.063,0.272,0.03,195.82549,20.35185,3941704659652114432,1443.9548,1396.7832,1498.0509,10.797767993807232,50.63384999999994,0.03506609071142666,0.07614504848945736
Mark_132,2460460.38516,0.5,0.06,55.9,3.39,-0.185,0.077,0.464,0.055,196.40727,21.11963,3943304479134361472,1444.5686,1396.3965,1492.6505,10.798690852721947,48.12699999999995,0.03331582868407908,0.07234440278764809
Mark_200,2460438.31478,0.26,0.06,49.47,7.04,-0.04,0.10300000000000001,0.257,0.06,179.17484,17.17295,3926277446362587136,1617.6646,1547.9595,1714.2777,11.044442408789461,83.15910000000008,0.051406886198783155,0.11162863503979976
Mark_76,2460830.35889,0.4,0.1,-32.38,7.56,0.17099999999999999,0.058,-0.362,0.108,187.65404,18.06968,3947719022616508288,1636.3236,1596.3295,1689.1663,11.069345970383836,46.41840000000002,0.0283674940580213,0.06159923067410966
Mark_121,2460460.33245,0.45,0.04,52.44,2.77,-0.117,0.038,0.44,0.044000000000000004,184.94878,18.51457,3947243724354865280,1716.1052,1651.1483,1776.1489,11.172719536383656,62.500299999999925,0.03641985351480779,0.07908470706602885
Mark_85,2460426.36178,0.33,0.08,43.7,6.76,0.015,0.074,0.333,0.076,174.02637,15.67919,3972500189344296960,2052.424,1976.1641,2110.8467,11.56133542215661,67.34130000000005,0.03281061807891549,0.07124735189754035
Mark_233,2460432.3718,0.11,0.09,51.82,61.44,-0.027,0.091,0.11100000000000002,0.09,184.23959,18.59977,3950247040365921280,2175.016,2094.8052,2266.0557,11.687312280444434,85.62525000000005,0.03936764143344235,0.08548574720044917
Mark_78,2460461.39199,0.16,0.08,19.39,16.0,0.127,0.092,0.10200000000000001,0.045,195.46664,21.80978,3944161071707863936,2308.7092,2216.1445,2403.4592,11.816846167858316,93.65734999999995,0.04056697569360401,0.08809006845617781
Mark_263_merged,2460460.40778,0.06,0.03,73.65,14.97,-0.055,0.03,0.034999999999999996,0.027,197.93994,21.26627,3943541599984583168,2377.165,2293.0757,2465.068,11.880296636664735,85.99615000000017,0.03617592804874722,0.07855502964649994
Mark_67,2460459.40329,0.41,0.05,46.74,3.9,-0.025,0.046,0.40499999999999997,0.055,199.27654,21.0103,3940484888939827072,2571.8606,2492.7427,2679.8677,12.051237126293078,93.5625,0.03637930453928957,0.0789966560844569
Mark_242,2460459.39128,0.23,0.09,66.86,11.87,-0.158,0.079,0.165,0.091,197.9319,20.97835,3943110900664214656,2585.978,2471.675,2700.082,12.063124129173456,114.20349999999985,0.04416259535077245,0.09589785733683338
Mark_284,2460459.41745,0.28,0.09,56.06,10.29,-0.105,0.152,0.258,0.078,199.64702,20.95893,3940516667402643328,2605.717,2492.678,2755.8022,12.079636231839952,131.5621000000001,0.05048978841524237,0.10963718250601244
Mark_4,2460426.43999,1.16,0.69,60.84,22.0,-0.612,0.131,0.991,0.807,195.19397,21.0621,3944050639508731264,2713.152,2611.7837,2846.595,12.167370625483404,117.40564999999992,0.04327278751798643,0.09396566417816708
Mark_274,2460459.30888,0.44,0.06,84.56,3.87,-0.428,0.058,0.082,0.065,179.92549,17.12649,3926582011083609856,2714.0627,2591.6147,2860.5173,12.16809938233244,134.45129999999995,0.04953875973462218,0.10757204996538704
Mark_124,2460460.29936,0.68,0.05,45.65,2.31,-0.015,0.079,0.6839999999999999,0.055,180.18828,16.48499,3925376701525135744,2909.8767,2755.5034,3056.7322,12.319372935231758,150.61439999999993,0.05175971889118187,0.11239480149651891
Mark_164,2460426.37258,0.59,0.09,42.85,4.16,0.045,0.159,0.5930000000000001,0.08499999999999999,172.63016,15.81605,3967312319822453248,3306.9236,3122.7666,3453.8179,12.597120807526338,165.52565000000004,0.05005427098466987,0.10869146842166084
Mark_11,2460438.33242,0.16,0.05,-0.39,10.19,0.165,0.054,-0.002,0.106,179.4492,17.01651,3926214224444021760,4414.538,3921.2344,5160.14,13.224426297722644,619.4528000000003,0.1403210936229341,0.30470338327534924
