Name,ra,dec,gid,r_med_photogeo,r_lo_photogeo,r_hi_photogeo
Mark_225,197.23097,22.05471,3943842763091327232,281.86737,280.36923,283.48395
Mark_302,185.33888,19.54846,3950422824787515520,847.4918,836.38055,860.1625
Mark_55,179.33209,15.55869,3925198550577883776,342.61322,340.51138,345.02783
Mark_74,198.03603,21.6534,3943592108799973120,534.3572,530.03687,538.25024
Mark_11,179.4492,17.01651,3926214224444021760,4414.538,3921.2344,5160.14
Mark_144,195.69051,20.66197,3943271669880088448,502.33038,497.3389,507.51144
Mark_245,179.55417,16.23754,3925386189108901760,844.76733,831.9786,858.6388
Mark_273,174.25673,15.47786,3972305373922180608,203.38612,199.22438,206.88231
Mark_5,193.23315,21.16364,3942750737590666624,968.6996,951.3056,988.7725
Mark_207,188.71802,20.24956,3949160722878384768,202.70416,201.85304,203.67053
Mark_182,185.09541,20.1586,3952003647630392960,360.72614,355.74277,365.85733
Mark_119,199.39124,20.75375,3940418127968198656,479.17987,475.40512,482.67694
Mark_198,179.67728,16.81602,3926192680888089088,856.13116,844.61444,867.05304
Mark_282,191.05409,21.70998,3954711023214738688,277.45782,275.94907,279.04175
Mark_233,184.23959,18.59977,3950247040365921280,2175.016,2094.8052,2266.0557
Mark_243,178.97321,16.09546,3926048988461803392,471.0949,465.6669,476.65698
Mark_96,198.50754,21.06732,3943476728798598016,259.00226,257.89923,259.98465
Mark_112,199.77525,20.8951,3940511650880842496,560.7016,554.05084,568.48865
Mark_294,185.26663,19.91669,3951981107642044928,773.21,736.01984,814.64496
Mark_8,187.88229,20.72047,3949433161243432704,431.30984,427.9475,434.6709
Mark_95,174.23676,16.17048,3972629077018036864,254.33427,248.54463,261.8845
Mark_167,188.16794,18.48618,3947849589622523520,595.7532,588.7078,602.6453
Mark_3,194.76712,21.33237,3942619556405652608,563.96136,548.62494,581.7201
Mark_295,185.76147,19.00018,3947372843955729536,516.5426,509.09735,525.1518
Mark_200,179.17484,17.17295,3926277446362587136,1617.6646,1547.9595,1714.2777
