# GID   RA    DEC     l     b     RP
3943072757058707840 197.65523 20.61476 337.88631 82.14994 11.99
3955946839925562624 190.94728 22.75233 280.90679 85.29335 11.65
3955487209705428224 190.80110 22.10634 282.05806 84.64112 10.45
3943075780715683840 197.63448 20.63803 337.85982 82.18003 11.86
3954337940879977856 192.26636 20.52723 298.11048 83.37675 11.76
3954848359088882048 192.50128 21.65202 299.44739 84.51407 11.16
3954557813141537536 190.67151 20.98985 284.44639 83.54513 9.90
3942677830521366144 193.49431 20.72944 308.24522 83.57498 10.69
3952156067429556352 186.29079 20.79029 258.10519 81.27435 12.37
3955723325531334144 189.89764 22.36118 272.86443 84.52704 10.14
3942557811955791232 194.36409 20.68373 315.29268 83.41056 11.60
3954294892423233536 191.30893 20.53182 290.47598 83.25307 12.31
3973325235381575680 172.77328 16.05559 239.55008 68.33592 11.67
3967312319822453248 172.63016 15.81605 239.87449 68.08727 12.31
3952162492700644096 186.35069 20.98270 257.51523 81.45409 10.96
3967368394915479040 172.40683 15.99918 239.14651 68.01231 10.43
3947849589622523520 188.16794 18.48618 275.40040 80.33911 12.33
3944179591606733696 196.41862 21.67955 334.43206 83.66122 12.28
3954907835796087424 193.73550 21.98950 311.93091 84.79991 12.08
3954572725267971072 190.40758 21.16169 281.86284 83.62832 11.66
3943828263281804288 197.54263 22.04166 343.86928 83.36765 11.99
3948529328325827712 189.88481 20.62816 279.60565 82.95465 11.50
3942701057704481152 193.20348 20.71221 305.80909 83.57627 12.04
3942257198604229376 192.85049 20.12852 302.86271 83.00026 12.34
3952117962479972608 186.65694 20.95221 259.09760 81.62291 10.16
3948949788443860224 186.29753 19.95964 261.56588 80.64602 9.68
3948736551907901568 188.22676 19.65832 272.33029 81.40715 11.66
3949199721181151744 188.46078 20.15240 272.00787 81.94599 9.62
3954197310766316032 191.60573 19.87952 293.66247 82.66085 10.70
3954307811684944512 191.94872 20.27622 295.80516 83.09750 11.30
3954366669916831872 192.40340 20.92901 298.99283 83.78680 12.25
3952003647630392960 185.09541 20.15860 255.72809 80.04758 10.52
3954509297190984448 190.74332 20.88957 285.27513 83.46915 12.39
3947782210175325568 187.15863 18.26370 271.10121 79.69690 12.35
3955839774980189184 189.58362 23.07223 266.04225 84.97556 11.41
3947314264897654016 186.03241 18.86056 264.29705 79.62029 12.29
3947891504206788864 188.88429 18.97851 277.95345 81.06906 11.75
3967368669793386112 172.38278 16.02621 239.05219 68.00813 12.36
3950481854817995264 185.06535 19.83050 256.90123 79.79012 10.99
3952579276327092992 187.04539 21.51586 258.34660 82.28456 11.32
3925288573092374144 179.37923 16.02372 251.79121 73.27782 10.70
3943247618063320576 196.62993 20.90077 332.66589 82.88495 10.40
3944041912135238272 195.53589 21.06934 325.45289 83.46775 12.28
3948741912027065984 188.06032 19.75694 271.09196 81.41634 10.85
3951960216921185792 186.19638 20.19529 260.18497 80.76781 12.44
3955804350089915520 189.27182 22.73961 265.61003 84.53787 12.48
3955973400003324544 191.09033 22.92358 281.68206 85.50032 10.84
3926192680888089088 179.67728 16.81602 250.43287 74.02842 12.08
3955072556381838208 192.21790 22.20572 296.04100 85.04310 11.25
3926277446362587136 179.17484 17.17295 248.31189 73.90530 10.90
3942898248243566464 193.92334 21.84684 313.54445 84.63068 12.36
3947737989192166784 188.29013 18.28759 276.52161 80.20870 12.40
3947857664161076224 188.54651 18.71465 276.78514 80.69817 12.26
3948827227257134976 186.36423 19.17329 264.70178 80.05747 10.80
3954703601511668736 191.34560 21.77153 288.18483 84.46905 10.21
3943645916150426880 199.19226 21.83499 351.72075 82.17749 10.27
3949160722878384768 188.71802 20.24956 273.20333 82.14690 9.98
3949016652495174144 187.40446 20.23767 265.85495 81.49202 12.48
3954797815913734784 192.42535 21.25375 298.98467 84.11218 9.51
3948700680341012096 187.80084 19.27633 271.26479 80.87773 12.19
3954409585229559168 192.06844 20.87922 296.17111 83.70939 9.71
3972671064618294272 174.04788 16.17833 241.20453 69.41255 12.17
3947646661006307712 188.89774 18.41147 279.39755 80.55085 12.37
3954550288358833792 190.69078 20.87979 284.88819 83.44546 10.73
3949319121272233088 188.88446 20.74661 272.44814 82.65818 12.26
3947190428104948096 185.22177 18.36675 262.58350 78.76533 11.58
