Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec,gaia_id,l,b,rp_obslist,match_sep_arcsec,matched,has_coords
Mark_27,2460829.39093,0.12,0.03,2.14,7.91,0.00118,0.00031,9e-05,0.0003,188.06802,21.52798,3949617982275960576,263.97606,82.90081,11.67,0.0,True,True
Mark_29_merged,2460426.34019,0.63,0.07,40.51,3.05,0.00098,0.0008,0.00624,0.00066,172.79477,15.85788,3967301805742507776,240.02295,68.24148,9.9,0.0,True,True
Mark_30,2460432.37998,0.4,0.09,20.67,6.28,0.00302,0.00101,0.00266,0.0006,184.34332,18.37268,3950222885469862912,259.30611,78.24678,11.95,0.0,True,True
Mark_33,2460461.41779,0.24,0.07,14.38,8.68,0.00213,0.00068,0.00117,0.00074,196.11522,22.33433,3944294078254914816,335.29638,84.36817,12.05,0.0,True,True
Mark_34,2460426.34805,0.34,0.05,55.91,4.66,-0.00126,0.0004,0.00314,0.00056,173.76079,16.01056,3972575613264978304,241.14092,69.09049,9.45,0.0,True,True
Mark_35,2460438.31047,0.45,0.06,34.43,4.11,0.00163,0.00095,0.00422,0.00058,178.98677,15.56845,3925242634122144384,252.01321,72.68989,12.05,0.0,True,True
Mark_36,2460459.36682,0.17,0.06,49.5,11.77,-0.00027,0.00065,0.00167,0.00063,194.58836,20.00117,3942382920887888128,315.82278,82.69921,12.46,0.0,True,True
Mark_41,2460459.31419,0.35,0.09,48.22,8.1,-0.00039,0.00071,0.00349,0.00095,179.99248,16.91588,3925449788984636800,250.91304,74.31792,12.14,0.0,True,True
Mark_43,2460426.35778,0.51,0.26,-39.09,17.94,0.00104,0.00295,-0.00494,0.00258,173.3679,15.93255,3972560353245532928,240.71337,68.7368,10.73,0.0,True,True
Mark_44,2460438.44333,0.25,0.04,54.65,4.78,-0.00082,0.00051,0.00234,0.00039,198.84341,21.31182,3943509370550073088,347.37512,82.02715,12.24,0.0,True,True
Mark_45,2460438.43699,0.08,0.03,36.17,12.63,0.00025,0.00037,0.00077,0.00031,198.83101,21.90661,3943684570856057984,350.34599,82.46698,9.55,0.0,True,True
Mark_47,2460461.31411,0.23,0.07,40.64,9.92,0.00034,0.00067,0.00223,0.00072,184.61546,19.20315,3950431483441507072,257.50949,79.04118,12.43,0.0,True,True
Mark_48,2460460.4327,0.37,0.07,64.64,5.59,-0.00234,0.00078,0.00286,0.00065,199.35889,21.29277,3940586731204294400,349.76007,81.6852,11.78,0.0,True,True
Mark_51,2460461.38112,0.08,0.06,43.26,28.27,5e-05,0.00075,0.00082,0.00057,194.34177,21.59279,3942828601053975040,316.95284,84.30242,12.49,0.0,True,True
Mark_53,2460461.42287,0.12,0.06,-24.5,19.19,0.00078,0.00042,-0.00089,0.00076,196.76332,22.12418,3944219689421422208,339.10873,83.86643,12.47,0.0,True,True
Mark_54,2460461.35736,0.3,0.04,49.29,4.28,-0.00045,0.00022,0.003,0.00045,187.90747,18.47875,3947802654219709056,274.10805,80.22298,10.65,0.0,True,True
Mark_55,2460438.32266,0.52,0.06,52.78,3.5,-0.00139,0.00061,0.00499,0.00063,179.33209,15.55869,3925198550577883776,252.82576,72.92024,11.33,0.0,True,True
Mark_56,2460460.35637,0.33,0.03,53.72,2.63,-0.001,0.00037,0.00319,0.0003,185.62071,19.46568,3947405043326381440,260.48961,79.86064,10.72,0.0,True,True
Mark_59,2460481.35127,0.1,0.06,44.11,19.78,3e-05,0.00062,0.00101,0.00056,195.59358,20.45045,3941754653071412096,324.0368,82.86974,11.64,0.0,True,True
Mark_60,2460460.31475,0.23,0.03,47.69,3.82,-0.00022,0.00067,0.00232,0.0003,184.56752,18.84387,3950281400104314752,258.5727,78.74254,10.18,0.0,True,True
Mark_64,2460460.34562,0.4,0.06,42.69,4.22,0.00032,0.0005,0.00399,0.00058,185.18335,18.78271,3947354603230430080,261.09896,79.07019,11.15,0.0,True,True
Mark_65,2460431.28145,0.6,0.01,44.7,0.65,6e-05,0.00069,0.00597,0.00014,173.07893,15.94011,3973310946025894400,240.2606,68.51311,12.25,0.0,True,True
