#GID   RA    DEC     l     b     RP
3942840626960000000  193.97101  21.30308  313.03668  84.08740  11.73
3942841176720000000  193.86810  21.30298  312.11662  84.10265  12.14
3942848942020000000  193.55914  21.27602  309.30163  84.11312  11.91
3942857394510000000  193.55298  21.51851  309.50487  84.35482  10.02
3942861994420000000  193.61993  21.49901  310.10985  84.32832  11.11
3942863716706494080  193.65800  21.58508  310.57624  84.40936  8.86
3942863716710000000  193.65800  21.58508  310.57624  84.40936  8.86
3942865847010000000  193.71332  21.65244  311.19433  84.46932  11.93
3942866637280000000  194.02611  21.41556  313.72241  84.18929  10.61
3942869970180000000  194.07523  21.55183  314.42234  84.31476  12.37
3942884092030000000  193.89642  21.58154  312.81531  84.37352  11.93
3942886909530000000  194.00009  21.68881  313.98274  84.46240  11.17
3942891204500000000  193.96667  21.77797  313.83376  84.55572  10.98
3942898248240000000  193.92334  21.84684  313.54445  84.63068  12.36
3942900550350000000  194.04785  21.93918  314.95181  84.69964  9.86
3943031426590000000  196.71097  20.46183  331.59517  82.46094  9.70
3943038745210000000  196.81131  20.59822  332.71768  82.53816  10.55
3943072757060000000  197.65523  20.61476  337.88631  82.14994  11.99
3943073925290000000  197.51874  20.59369  337.01237  82.20103  10.93
3943075303980000000  197.57840  20.60374  337.39909  82.17961  12.37
3943075780720000000  197.63448  20.63803  337.85982  82.18003  11.86
3943094820310000000  198.08366  20.86556  341.33950  82.12849  11.88
3943099802470000000  197.66595  20.71267  338.34289  82.22634  12.34
3943100042990000000  197.70201  20.73113  338.62602  82.22305  12.15
3943101864050000000  197.72902  20.76623  338.92586  82.23812  11.86
3943106262100000000  197.99545  20.85356  340.79987  82.16727  9.69
3943107116800000000  197.98177  20.88553  340.86114  82.20068  11.73
3943108014450000000  198.00146  20.95211  341.26049  82.24369  12.14
3943109182680000000  197.89017  20.92168  340.50249  82.27995  10.68
3943110900660000000  197.93190  20.97835  340.98516  82.30317  11.12
3943118940840000000  197.12332  20.62254  334.75670  82.41717  11.72
3943128733370000000  197.45090  20.82236  337.52971  82.42803  10.92
3943133956050000000  197.08067  20.75572  335.00576  82.55234  9.64
3943134986840000000  196.96535  20.71930  334.14324  82.57463  9.63
3943138251020000000  196.97957  20.82901  334.65739  82.66322  11.85
3943138800770000000  197.02664  20.87021  335.11796  82.67663  10.46
3943141309030000000  197.33755  20.84621  336.94558  82.50501  9.69
3943146944030000000  197.15878  20.97443  336.37156  82.70216  12.01
3943153227570000000  197.53357  20.92600  338.45342  82.47252  11.57
3943158145300000000  197.69467  21.00105  339.72331  82.44998  11.86
3943169484020000000  197.46617  21.09635  338.78129  82.64909  11.04
3943181303770000000  197.62570  21.27085  340.52122  82.70749  12.09
3943181647370000000  197.59135  21.29736  340.43755  82.74768  12.30
3943182403280000000  197.57809  21.31011  340.41664  82.76524  12.07
3943199269620000000  196.37155  20.51036  329.55822  82.64469  11.43
3943205832330000000  195.91307  20.42222  326.18688  82.73602  12.05
3943207760770000000  196.02913  20.47884  327.15349  82.74676  12.39
3943209925430000000  196.22968  20.48455  328.52871  82.67681  12.41
3943215422990000000  196.09366  20.60049  327.97963  82.83452  11.41
3943239268650000000  196.42009  20.74980  330.70598  82.84058  10.60
3943243151300000000  196.37140  20.80949  330.58990  82.91425  12.40
3943247618060000000  196.62993  20.90077  332.66589  82.88495  10.40
3943248270900000000  196.57953  20.91330  332.37736  82.91815  12.30
3943248889370000000  196.61327  20.96459  332.79983  82.94853  12.05
3943249645290000000  196.50702  20.90014  331.84048  82.93796  12.15
3943250641720000000  196.42085  20.92735  331.35724  82.99895  12.14
3943251260200000000  196.54814  20.93853  332.26258  82.95417  9.93
3943256345440000000  195.92767  20.56606  326.72305  82.86393  11.27
3943264076380000000  195.98834  20.69568  327.55646  82.96115  12.38
3943271669880000000  195.69051  20.66197  325.33646  83.03573  11.79
3943273868900000000  195.78625  20.74868  326.29053  83.08316  9.57
3943277060060000000  195.55765  20.77103  324.69445  83.18204  12.05
3943279194660000000  195.64954  20.84596  325.59927  83.22102  12.19
3943280431610000000  195.89963  20.81908  327.32980  83.10728  11.71
3943286994320000000  195.88875  20.97612  327.77621  83.25546  11.45
3943288952830000000  196.18765  20.80084  329.29799  82.98073  12.34
3943295652980000000  196.22124  20.95663  330.08379  83.10801  10.54
3943301661640000000  196.43013  21.13387  332.21081  83.17833  11.27
3943304479130000000  196.40727  21.11963  331.99618  83.17564  10.90
3943308159920000000  196.00450  21.03150  328.80917  83.26189  11.06
3943314791350000000  196.00069  21.20325  329.40461  83.41918  11.01
3943315817850000000  196.19189  21.15750  330.62144  83.30050  11.77
3943322968970000000  196.10103  21.30798  330.54108  83.47293  11.99
3943323793600000000  196.87999  20.77495  333.81452  82.66229  10.15
3943326679820000000  197.02544  20.91662  335.29606  82.71717  12.43
3943341866830000000  196.75081  20.96750  333.72445  82.88926  11.90
3943348566970000000  196.75725  21.13230  334.43026  83.02966  11.31
3943357496210000000  196.89737  21.29529  336.04985  83.10319  12.15
3943365506330000000  197.24069  21.23647  338.00691  82.88219  11.66
3943371484920000000  197.45290  21.41339  340.13467  82.91698  11.03
3943372893670000000  197.33566  21.36765  339.19463  82.94185  12.47
3943374366840000000  197.39767  21.41562  339.80353  82.94841  11.49
3943382754910000000  196.98451  21.43118  337.22915  83.17536  12.23
3943384679060000000  197.00587  21.49917  337.68135  83.22172  11.68
3943387256040000000  197.19220  21.50192  338.90902  83.12803  11.91
3943389145830000000  197.32970  21.56501  340.08609  83.10697  12.50
3943398315580000000  196.60312  21.27271  333.96864  83.22282  11.54
3943398869630000000  196.43092  21.19197  332.44635  83.22932  11.08
3943410517580000000  196.73647  21.49157  335.83198  83.34877  11.46
3943424158400000000  196.57054  21.54879  334.93326  83.47712  10.76
3943449034850000000  196.78052  21.63653  336.79907  83.45044  11.95
3943450203080000000  196.73454  21.68843  336.72437  83.51713  11.93
3943455528840000000  196.70290  21.84352  337.24773  83.66377  12.02
3943461885390000000  196.79573  21.90608  338.21172  83.66898  10.70
3943465561880000000  198.25006  20.80527  341.98350  81.98741  12.21
3943472708710000000  198.29260  21.00115  343.07221  82.11892  8.80
3943476728800000000  198.50754  21.06732  344.51014  82.04549  11.06
3943483635110000000  198.06357  21.00644  341.84571  82.25287  10.84
3943491950160000000  198.24359  21.11967  343.34461  82.24044  11.51
3943498272350000000  198.31734  21.30217  344.59656  82.33954  12.09
3943501055490000000  198.54727  21.14332  345.06755  82.08051  9.63
3943502979640000000  198.66527  21.20654  345.97230  82.05771  11.92
3943509370550000000  198.84341  21.31182  347.37512  82.02715  12.24
3943511157260000000  198.94116  21.35543  348.07096  81.99811  11.32
3943515830180000000  198.82893  21.44806  347.96803  82.13702  9.72
3943526550420000000  198.68501  21.43122  347.15594  82.21453  12.28
3943530639230000000  198.56300  21.51076  346.91921  82.34947  12.22
3943538335810000000  197.99498  21.22836  342.46904  82.46845  12.33
3943539744560000000  197.88063  21.19326  341.65663  82.50466  10.75
3943541599980000000  197.93994  21.26627  342.33302  82.52971  11.77
3943541840500000000  197.94113  21.28178  342.41225  82.54137  12.34
3943552801260000000  197.75134  21.26843  341.25300  82.63676  12.25
3943574516610000000  198.22348  21.49189  345.00509  82.54139  12.18
3943576921800000000  198.24249  21.58125  345.55504  82.59832  10.16
3943577127950000000  198.32007  21.59244  346.03534  82.55984  12.39
3943578876000000000  198.46275  21.57051  346.69100  82.45603  11.66
3943579395700000000  198.48524  21.60635  346.99160  82.46896  11.50
3943581590420000000  198.56891  21.68253  347.82177  82.47328  11.64
3943583106550000000  198.53523  21.76133  348.05488  82.55244  11.05
3943589841060000000  198.18805  21.64437  345.57371  82.67920  11.23
3943592108800000000  198.03603  21.65340  344.76527  82.77705  11.68
3943597228400000000  198.31155  21.77950  346.95186  82.70560  9.98
3943603413150000000  198.29381  21.92653  347.63763  82.82573  12.03
3943614202110000000  199.18228  21.58553  350.38010  82.00924  10.79
3943616980950000000  199.27792  21.69519  351.39154  82.02314  11.73
3943620524300000000  199.07254  21.77437  350.82967  82.21479  9.32
3943622929490000000  198.83612  21.58710  348.70065  82.23426  11.96
3943629148600000000  198.68623  21.75016  348.78096  82.44845  12.29
3943629384820000000  198.81540  21.72558  349.30867  82.34782  11.67
3943630694790000000  198.78284  21.79900  349.52964  82.42163  9.44
3943643133010000000  199.47986  21.84797  353.11655  81.99177  11.87
3943644473040000000  199.40179  21.88462  352.95718  82.06990  12.14
3943645881790000000  199.21909  21.83705  351.85812  82.16094  9.91
3943645916150000000  199.19226  21.83499  351.72075  82.17749  10.27
3943647084380000000  199.35960  21.90005  352.84647  82.10913  12.33
3943676874270000000  198.61032  21.78684  348.58149  82.52352  9.85
3943681478480000000  198.50684  21.88544  348.56325  82.66115  12.01
3943684570860000000  198.83101  21.90661  350.34599  82.46698  9.55
3943685837870000000  198.76308  21.94639  350.21890  82.53964  11.29
3943695600330000000  198.52298  21.96431  349.07518  82.70802  11.80
3943747964570000000  197.57973  21.51188  341.37942  82.92754  12.44
3943753015450000000  197.57335  21.60752  341.80758  83.00775  12.39
3943763289020000000  197.72986  21.82265  343.84753  83.08815  11.33
3943765694200000000  197.48460  21.63068  341.37608  83.07565  10.19
3943769336330000000  197.23184  21.70413  340.13930  83.27307  12.45
3943770160960000000  197.39503  21.72648  341.29317  83.20217  10.87
3943774593370000000  197.66858  21.80968  343.41039  83.11359  11.15
3943777784530000000  197.44122  21.82843  342.10319  83.25799  11.70
3943780056570000000  197.52496  21.92501  343.13253  83.28675  11.32
3943783080230000000  197.89572  21.82249  344.82921  82.99039  11.77
3943794350220000000  198.01363  21.96693  346.28362  83.02915  9.51
3943795823400000000  197.98387  22.03904  346.50643  83.10153  11.63
3943807647440000000  197.96373  22.06454  346.53051  83.13300  9.27
3943816271730000000  197.22417  21.71359  340.13647  83.28491  10.36
3943819020510000000  197.36295  21.83682  341.65070  83.30848  11.80
3943828263280000000  197.54263  22.04166  343.86928  83.36765  11.99
3943830599740000000  197.28639  22.00666  342.04803  83.48681  12.35
