#GID   RA    DEC     l     b     RP
3949485903440000000  187.69337  20.87279  264.81392  82.16634  10.99
3952506261880000000  187.02443  21.31379  259.23096  82.12079  11.48
3947535404170000000  188.31076  17.95521  277.41477  79.91356  12.00
3944622248120000000  196.76021  22.48348  341.08855  84.16054  10.82
3947737989190000000  188.29013  18.28759  276.52161  80.20870  12.40
3972544547770000000  173.15970  15.60971  241.11836  68.38685  11.95
3943424158400000000  196.57054  21.54879  334.93326  83.47712  10.76
3944146709340000000  195.60942  21.68512  328.21869  84.00910  12.41
3947679302760000000  189.10612  18.63015  280.03206  80.82713  10.98
3944050639510000000  195.19397  21.06210  322.77679  83.57094  12.41
3947735480930000000  188.21313  18.18455  276.38493  80.08453  10.53
3948747547020000000  187.33986  19.34536  268.70832  80.71384  12.22
3955776926720000000  190.22482  22.86722  273.09889  85.11597  9.94
3941756126250000000  195.61722  20.46121  324.23417  82.87224  11.46
3948303889790000000  189.26990  19.42303  279.03004  81.62041  12.24
3948065368780000000  189.54636  18.90448  281.91636  81.23050  11.34
3952517871180000000  187.64133  21.32208  262.49044  82.49517  11.97
3948833789970000000  186.21124  19.17947  264.00635  79.97756  11.20
3947950469810000000  188.26430  19.01512  274.47328  80.85406  11.23
3948575748330000000  187.62355  18.77921  271.86310  80.36226  11.77
3947380750990000000  185.80965  19.12519  262.47341  79.70592  11.74
3954871483190000000  193.44429  21.62005  308.57870  84.46614  11.89
3947678409400000000  189.18694  18.59891  280.55078  80.82569  9.47
3946259970690000000  187.26802  17.95234  272.43903  79.47488  12.14
3948827227260000000  186.36423  19.17329  264.70178  80.05747  10.80
3925253079480000000  179.07962  15.72757  251.83723  72.86482  12.22
3926152411270000000  178.60652  16.87851  247.85690  73.30074  11.77
3943530639230000000  198.56300  21.51076  346.91921  82.34947  12.22
3954448858410000000  190.53494  20.30323  285.13276  82.85146  10.24
3936093164620000000  191.07309  18.97623  291.17095  81.68434  12.19
3944468797520000000  195.25258  22.29643  327.66611  84.70210  12.15
3947254410230000000  184.78951  18.63751  260.07654  78.72166  11.06
3955160341220000000  192.69608  22.35115  301.11781  85.22060  11.62
3955994462520000000  191.87299  22.76234  291.14252  85.54348  10.84
3954513209910000000  190.21013  20.50788  282.27479  82.95066  11.47
3947088143460000000  185.96173  18.47538  265.22021  79.26780  12.11
3943250641720000000  196.42085  20.92735  331.35724  82.99895  12.14
3941630167740000000  194.83844  19.97715  317.57292  82.62284  9.73
3948392610930000000  189.96404  19.58375  282.93072  82.00192  10.30
3949432542770000000  188.00117  20.81871  266.78412  82.28747  12.10
3947290792900000000  185.61534  18.53669  263.60702  79.12555  11.55
3943158145300000000  197.69467  21.00105  339.72331  82.44998  11.86
3947212628790000000  184.43320  18.15983  260.29285  78.13805  11.09
3955518270910000000  190.16376  22.04666  276.60694  84.35865  10.20
3949938043240000000  183.53401  18.81593  255.08795  78.05896  11.83
3967368394920000000  172.40683  15.99918  239.14651  68.01231  10.43
3948060695850000000  189.21501  18.80112  280.24647  81.02391  11.89
3949160722880000000  188.71802  20.24956  273.20333  82.14690  9.98
3955674019310000000  189.17865  22.08584  268.57554  83.94914  12.11
3942410610540000000  193.70314  19.88863  309.20425  82.71924  11.60
3952635312770000000  187.51118  21.71102  259.83908  82.71781  12.25
