#Name   JD    P[%]   sP[%]    PA[deg]  sPA[deg]   q        sq       u        su
Mark_163        2460426.36879   0.79   0.06   34.52    2.23  0.00284  0.00034  0.00741  0.00065
Mark_164        2460426.37258   0.59   0.09   42.85    4.16  0.00045  0.00159  0.00593  0.00085
Mark_166        2460426.37630   0.28   0.08   45.79    8.08 -0.00008  0.00055  0.00283  0.00076
Mark_167        2460459.33816   0.30   0.05   47.58    4.85 -0.00027  0.00063  0.00299  0.00050
Mark_168        2460460.38925   0.10   0.06   86.29   20.50 -0.00097  0.00055  0.00013  0.00082
Mark_171        2460459.38780   0.17   0.05   16.05    9.26  0.00142  0.00043  0.00089  0.00067
Mark_182        2460459.32987   0.16   0.06   24.87   10.80  0.00104  0.00056  0.00123  0.00055
Mark_183        2460461.36847   0.42   0.05   47.50    3.41 -0.00037  0.00044  0.00422  0.00050
Mark_184        2460459.33311   0.19   0.07   30.61   12.24  0.00092  0.00068  0.00168  0.00075
Mark_188        2460426.38819   0.26   0.10   42.91   12.98  0.00019  0.00093  0.00255  0.00103
Mark_189        2460460.33664   0.25   0.06   45.60    6.90 -0.00005  0.00045  0.00250  0.00058
Mark_191        2460438.32729   0.40   0.04   69.90    2.93 -0.00304  0.00037  0.00257  0.00044
Mark_192        2460459.37755   0.26   0.03   68.16    2.80 -0.00188  0.00020  0.00179  0.00030
Mark_193        2460460.37663   0.57   0.09   62.76    4.35 -0.00331  0.00035  0.00464  0.00102
Mark_198        2460459.29594   0.45   0.07   48.34    4.88 -0.00052  0.00100  0.00444  0.00074
Mark_200        2460438.31478   0.26   0.06   49.47    7.04 -0.00040  0.00103  0.00257  0.00060
Mark_206        2460460.42962   0.25   0.05   66.40    5.40 -0.00169  0.00055  0.00183  0.00036
Mark_207        2460461.36448   0.25   0.04   72.05    4.22 -0.00204  0.00031  0.00148  0.00045
Mark_212        2460426.39333   0.11   0.13   16.22   61.44  0.00093  0.00126  0.00059  0.00126
Mark_216        2460438.37881   0.33   0.04   38.47    3.31  0.00074  0.00116  0.00321  0.00028
Mark_217        2460461.41376   0.30   0.06   48.78    6.13 -0.00039  0.00034  0.00293  0.00062
Mark_219        2460432.33096   0.19   0.08   36.69   13.44  0.00055  0.00135  0.00186  0.00073
Mark_221B       2460460.39276   0.45   0.05   52.43    3.24 -0.00116  0.00079  0.00438  0.00048
Mark_221        2460460.39268   0.45   0.05   55.24    3.31 -0.00157  0.00059  0.00421  0.00050
Mark_222        2460460.36897   0.30   0.05   60.39    4.58 -0.00155  0.00050  0.00261  0.00047
Mark_223        2460459.32691   0.28   0.03   50.13    3.12 -0.00051  0.00065  0.00280  0.00029
Mark_225        2460460.40006   0.26   0.08   37.77    9.51  0.00064  0.00055  0.00249  0.00081
Mark_230B       2460460.37258   0.56   0.06   73.11    3.34 -0.00465  0.00056  0.00311  0.00081
Mark_230        2460460.37251   0.54   0.07   75.06    3.74 -0.00466  0.00065  0.00268  0.00082
Mark_233        2460432.37180   0.11   0.09   51.82   61.44 -0.00027  0.00091  0.00111  0.00090
Mark_234        2460460.42097   0.19   0.05   60.18    7.06 -0.00098  0.00052  0.00167  0.00044
Mark_236        2460459.34300   0.20   0.06   15.90    9.61  0.00171  0.00064  0.00106  0.00059
Mark_238        2460460.32343   0.22   0.10   60.90   15.92 -0.00116  0.00105  0.00187  0.00104
Mark_240        2460460.31032   0.23   0.04   32.55    5.28  0.00099  0.00044  0.00213  0.00042
Mark_242        2460459.39128   0.23   0.09   66.86   11.87 -0.00158  0.00079  0.00165  0.00091
Mark_243        2460438.30622   0.40   0.07   47.89    4.72 -0.00041  0.00086  0.00402  0.00065
Mark_245        2460438.33731   0.86   0.04   63.61    1.20 -0.00519  0.00033  0.00683  0.00038
Mark_248        2460432.32480   0.36   0.09   37.50    7.45  0.00094  0.00097  0.00352  0.00090
Mark_256        2460432.34369   0.51   0.10   55.22    5.88 -0.00177  0.00126  0.00475  0.00098
Mark_259        2460461.31939   0.51   0.07   52.20    3.96 -0.00127  0.00067  0.00493  0.00070
Mark_261        2460431.28930   0.20   0.12  -86.42   22.92 -0.00198  0.00121 -0.00025  0.00131
Mark_263        2460460.40775   0.08   0.04   76.19   19.27 -0.00068  0.00044  0.00036  0.00034
Mark_263B       2460460.40781   0.05   0.04   70.24   61.44 -0.00041  0.00041  0.00034  0.00041
Mark_264        2460431.27584   0.40   0.14   34.18   10.82  0.00146  0.00054  0.00368  0.00146
Mark_269        2460460.34099   0.61   0.08   59.32    3.77 -0.00292  0.00046  0.00535  0.00087
Mark_272        2460461.33587   0.28   0.06   46.30    6.76 -0.00013  0.00071  0.00283  0.00065
Mark_273        2460432.31800   0.25   0.07   43.78    8.03  0.00010  0.00085  0.00245  0.00065
