Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec
Mark_121,2460460.33245,0.45,0.04,52.44,2.77,-0.00117,0.00038,0.0044,0.00044,184.94878,18.51457
Mark_122,2460432.38738,0.19,0.08,30.57,13.4,0.00091,0.00078,0.00165,0.00077,184.34711,19.69882
Mark_123,2460461.33009,0.41,0.06,36.22,4.15,0.00123,0.00052,0.0039,0.00059,185.54079,19.79519
Mark_124,2460460.29936,0.68,0.05,45.65,2.31,-0.00015,0.00079,0.00684,0.00055,180.18828,16.48499
Mark_127,2460459.4265,0.17,0.06,3.72,10.59,0.00173,0.0006,0.00023,0.00036,199.97675,21.85439
Mark_128,2460461.3976,0.28,0.06,27.93,6.37,0.00157,0.00057,0.00232,0.00062,195.46991,20.37368
Mark_131,2460459.41224,0.14,0.05,34.46,10.52,0.00051,0.00055,0.00131,0.00046,199.4996,21.72981
Mark_132,2460460.38516,0.5,0.06,55.9,3.39,-0.00185,0.00077,0.00464,0.00055,196.40727,21.11963
Mark_141,2460460.3276,0.3,0.05,50.75,4.96,-0.0006,0.00022,0.00295,0.00052,184.92867,18.98709
Mark_144,2460461.40938,0.27,0.06,67.86,6.98,-0.00193,0.00062,0.00188,0.00064,195.69051,20.66197
Mark_149,2460461.36106,0.22,0.03,55.22,4.49,-0.00078,0.00047,0.0021,0.00032,187.94492,18.38639
Mark_150,2460460.41163,0.28,0.04,61.06,4.48,-0.00147,0.00038,0.00234,0.00044,198.06357,21.00644
Mark_151,2460461.43247,0.27,0.05,55.18,5.47,-0.00093,0.00047,0.0025,0.0005,197.65523,20.61476
Mark_154,2460461.42809,0.38,0.06,56.85,4.54,-0.00153,0.00083,0.00349,0.00053,197.63448,20.63803
Mark_163,2460426.36879,0.79,0.06,34.52,2.23,0.00284,0.00034,0.00741,0.00065,172.77328,16.05559
Mark_164,2460426.37258,0.59,0.09,42.85,4.16,0.00045,0.00159,0.00593,0.00085,172.63016,15.81605
Mark_166,2460426.3763,0.28,0.08,45.79,8.08,-8e-05,0.00055,0.00283,0.00076,172.40683,15.99918
Mark_167,2460459.33816,0.3,0.05,47.58,4.85,-0.00027,0.00063,0.00299,0.0005,188.16794,18.48618
Mark_168,2460460.38925,0.1,0.06,86.29,20.5,-0.00097,0.00055,0.00013,0.00082,196.41862,21.67955
Mark_171,2460459.3878,0.17,0.05,16.05,9.26,0.00142,0.00043,0.00089,0.00067,197.54263,22.04166
Mark_182,2460459.32987,0.16,0.06,24.87,10.8,0.00104,0.00056,0.00123,0.00055,185.09541,20.1586
Mark_183,2460461.36847,0.42,0.05,47.5,3.41,-0.00037,0.00044,0.00422,0.0005,190.74332,20.88957
Mark_184,2460459.33311,0.19,0.07,30.61,12.24,0.00092,0.00068,0.00168,0.00075,187.15863,18.2637
Mark_188,2460426.38819,0.26,0.1,42.91,12.98,0.00019,0.00093,0.00255,0.00103,172.38278,16.02621
Mark_189,2460460.33664,0.25,0.06,45.6,6.9,-5e-05,0.00045,0.0025,0.00058,185.06535,19.8305
Mark_191,2460438.32729,0.4,0.04,69.9,2.93,-0.00304,0.00037,0.00257,0.00044,179.37923,16.02372
Mark_192,2460459.37755,0.26,0.03,68.16,2.8,-0.00188,0.0002,0.00179,0.0003,196.62993,20.90077
Mark_193,2460460.37663,0.57,0.09,62.76,4.35,-0.00331,0.00035,0.00464,0.00102,195.53589,21.06934
Mark_198,2460459.29594,0.45,0.07,48.34,4.88,-0.00052,0.001,0.00444,0.00074,179.67728,16.81602
Mark_200,2460438.31478,0.26,0.06,49.47,7.04,-0.0004,0.00103,0.00257,0.0006,179.17484,17.17295
Mark_206,2460460.42962,0.25,0.05,66.4,5.4,-0.00169,0.00055,0.00183,0.00036,199.19226,21.83499
Mark_207,2460461.36448,0.25,0.04,72.05,4.22,-0.00204,0.00031,0.00148,0.00045,188.71802,20.24956
Mark_212,2460426.39333,0.11,0.13,16.22,61.44,0.00093,0.00126,0.00059,0.00126,174.04788,16.17833
Mark_216,2460438.37881,0.33,0.04,38.47,3.31,0.00074,0.00116,0.00321,0.00028,185.22177,18.36675
Mark_217,2460461.41376,0.3,0.06,48.78,6.13,-0.00039,0.00034,0.00293,0.00062,195.918,21.60229
Mark_219,2460432.33096,0.19,0.08,36.69,13.44,0.00055,0.00135,0.00186,0.00073,178.69035,16.60255
Mark_221_merged,2460460.39272,0.45,0.04,53.82,2.31,-0.00136,0.00049,0.0043,0.00035,196.43092,21.19197
Mark_222,2460460.36897,0.3,0.05,60.39,4.58,-0.00155,0.0005,0.00261,0.00047,193.55878,20.50641
Mark_223,2460459.32691,0.28,0.03,50.13,3.12,-0.00051,0.00065,0.0028,0.00029,184.88745,18.07525
Mark_225,2460460.40006,0.26,0.08,37.77,9.51,0.00064,0.00055,0.00249,0.00081,197.23097,22.05471
Mark_230_merged,2460460.37255,0.55,0.05,74.06,2.49,-0.00465,0.00043,0.0029,0.00058,195.31955,20.94358
Mark_233,2460432.3718,0.11,0.09,51.82,61.44,-0.00027,0.00091,0.00111,0.0009,184.23959,18.59977
