starID,EDR3_source_id,RA,Dec,Gmag,Nobs,RefID,EDR3_source_id_alt,RA_alt,Dec_alt,Gmag_alt
94,6047436346456553088,249.35507570075956,-24.54522444931153,12.857882,1.0,0.0,6047436346456553088,nan,nan,nan
95,6047415730613194240,249.90986623503628,-24.48274476260118,11.506532,1.0,0.0,6047415730613194240,nan,nan,nan
96,6047778225851639424,250.28885667921307,-24.426169918049393,9.878995,1.0,0.0,6047778225851639424,nan,nan,nan
98,6047063543304067968,250.91252670872197,-24.18792155064102,12.792225,1.0,0.0,6047063543304067968,nan,nan,nan
99,6047061786652614784,251.17531814381292,-24.13640764651738,14.111094,1.0,0.0,6047061786652614784,nan,nan,nan
100,6047151538589066752,251.44781187309263,-24.01303778173873,13.428387,1.0,0.0,6047151538589066752,nan,nan,nan
103,6047178781559536512,251.5781121338682,-23.830272592467335,11.767102,1.0,0.0,6047178781559536512,nan,nan,nan
104,6047162357603459456,251.2120407663133,-23.938802026020138,12.4075775,2.0,0.0,6047162357603459456,nan,nan,nan
105,6047064333578063232,250.96495658734239,-24.104816712560726,13.083927,1.0,0.0,6047064333578063232,nan,nan,nan
106,6047820660128618240,250.77014021685207,-23.961123550045347,10.289095,1.0,0.0,6047820660128618240,nan,nan,nan
107,6047830276557336576,250.40102294610705,-23.944294931272466,12.648751,1.0,0.0,6047830276557336576,nan,nan,nan
108,6047847873041249536,249.8732675251647,-24.10705364690297,13.433836,1.0,0.0,6047847873041249536,nan,nan,nan
109,6047480769299740800,249.45442538921233,-24.167871576914553,12.321895,1.0,0.0,6047480769299740800,nan,nan,nan
110,6047453384588232192,249.26823996101413,-24.38647662332239,17.72554,1.0,0.0,6047453384588232192,nan,nan,nan
111,6047760221349696768,248.64428546795386,-23.597265200077754,13.329193,1.0,0.0,6047760221349696768,nan,nan,nan
112,6047762076775437312,248.72257673291716,-23.54785647781693,14.220429,1.0,0.0,6047762076775437312,nan,nan,nan
113,6047764172719465728,248.86270371835928,-23.525329828608708,13.546286,1.0,0.0,6047764172719465728,nan,nan,nan
114,6050765633304229504,248.58310994360428,-23.47512792189231,14.0502205,1.0,0.0,6050765633304229504,nan,nan,nan
115,6050767076413517056,248.50475440183712,-23.493038186642917,13.484929,1.0,0.0,6050767076413517056,nan,nan,nan
116,6047769189241271936,248.9150082351903,-23.46544737231577,14.745167,1.0,0.0,6047769189241271936,nan,nan,nan
117,3219207082185246592,86.73930982681821,0.33617189750423215,9.912687,1.0,0.0,3219207082185246592,nan,nan,nan
119,3219203371333509888,86.67651794431164,0.20254259869967062,11.932351,1.0,0.0,3219203371333509888,nan,nan,nan
122,3219200897432361216,86.51529004436959,0.18295979585314917,13.078969,1.0,0.0,3219200897432361216,nan,nan,nan
123,3219195159356063104,86.51024716051832,0.09070137057038363,13.667099,1.0,0.0,3219195159356063104,nan,nan,nan
124,3219194678319728640,86.5220130122999,0.04847417768975244,9.920001,1.0,0.0,3219194678319728640,nan,nan,nan
