EDR3_source_id,starID,RA,Dec,Gmag,rawstarID,RefID,FilterID,IntrPol,p,e_p,evpa,e_evpa,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo
4687413782293149824,34629,16.868145267243424,-72.83625363359504,18.255512,4380,46,3,0,0.0106,8e-05,-66.6,nan,4182.938,3262.2637,5374.4204,5497.4243,4064.8203,6932.5015
4687413786576448768,34640,16.875111693036,-72.82867149883604,17.759558,4391,46,3,0,0.00127,9e-05,-11.7,nan,10003.838,6984.281,13262.559,8129.5273,5199.66,11591.827
4687413786602086016,34648,16.883423799041527,-72.83942805062843,16.736757,4399,46,3,0,0.00467,0.00016,75.4,nan,9722.628,7211.3735,14201.907,16909.303,10095.261,22277.154
4687413786602087552,34631,16.872748055635647,-72.83931133537334,17.066238,4382,46,3,0,0.00819,0.0006,-42.0,nan,12060.592,7998.5757,18097.172,10187.61,7595.9956,11974.66
4687413786602222976,34624,16.86347100563434,-72.83724065887655,20.090519,4375,46,3,0,0.0052,0.00108,48.4,nan,1436.7181,900.22784,2331.6284,488.87497,478.04297,516.86975
4687413816652872704,34679,16.904035039046622,-72.83167741356992,18.077894,4430,46,3,0,0.00963,0.00087,-76.8,nan,5946.0566,4278.9136,9393.876,12418.086,4853.4795,17181.64
4687413816652887680,34689,16.91166799761252,-72.82895617424377,17.947557,4440,46,3,0,0.01962,0.00071,-49.8,nan,8415.212,5869.99,12809.691,7707.258,6064.9575,10981.182
4687413816652924800,34676,16.899163091568855,-72.8267160994253,18.307352,4427,46,3,0,0.01339,0.00301,32.9,nan,5239.9175,4020.9102,7336.821,11898.088,5008.275,17648.168
4687413820936206848,34665,16.892715665689305,-72.83644743176835,18.894758,4416,46,3,0,0.03307,0.00213,-52.3,nan,8181.175,5293.999,11203.807,6010.944,4940.8296,7679.366
4687413820961816448,34682,16.90757997973462,-72.83411853508812,19.441954,4433,46,3,0,0.02884,0.00046,-31.0,nan,6891.824,4781.401,9246.913,7371.954,5615.315,10918.564
4687413889655612160,34700,16.912627003699082,-72.81347874384842,18.337654,4451,46,3,0,0.00611,0.00134,-5.6,nan,4838.4287,3115.1294,7339.1694,4123.441,3289.4607,5103.802
4687413889655624448,34675,16.904008644471414,-72.8172101202509,17.404976,4426,46,3,0,0.02137,9e-05,-76.0,nan,15443.166,11395.105,19618.275,20516.24,12048.808,24074.14
4687413889655635328,34656,16.889380330917284,-72.82011334946178,18.863201,4407,46,3,0,0.0105,0.00015,-41.0,nan,6151.406,3687.6096,10254.673,6771.809,5477.119,8379.814
4687413889681263616,34667,16.897682286944054,-72.81578393502586,16.495901,4418,46,3,0,0.0042,0.00044,-59.6,nan,16066.723,11850.735,22351.107,8947.118,7434.029,10373.39
4687413889691313664,34677,16.896685337166907,-72.81236732791655,18.569384,4428,46,3,0,0.00754,0.0009,-58.1,nan,687.84357,604.65765,844.6248,689.1777,610.8753,833.1856
4687413924040992128,34755,16.968564623303063,-72.81198894814152,16.304136,4506,46,3,0,0.00571,0.00084,-57.7,nan,23113.703,14837.215,31134.64,13717.555,12374.552,15546.938
4687413924040999040,34718,16.9382344341475,-72.8150576947665,19.374435,4469,46,3,0,0.0088,0.00019,74.6,nan,2997.1294,1413.7163,5207.8315,2364.61,1872.2722,2827.9634
4687413924041002752,34734,16.951205446733823,-72.81821622438272,18.045961,4485,46,3,0,0.0116,0.0005,-51.8,nan,6763.048,4688.587,9790.573,7070.802,4807.1973,9685.423
4687413958400725632,34787,16.9865784248676,-72.8098875880796,18.241232,4538,46,3,0,0.02411,0.00763,-81.3,nan,4258.243,3259.2273,5713.637,2924.2383,2510.7532,3459.5688
4687413958400732160,34789,16.994820452252164,-72.81358345361414,16.735023,4540,46,3,0,0.01047,0.00044,-67.1,nan,10018.341,7579.4536,13254.518,9491.167,8861.459,10331.977
4687414091530987136,34673,16.90259414443264,-72.80543221820855,16.320013,4424,46,3,0,0.00632,0.00076,-62.1,nan,19131.996,12295.317,32313.258,6899.5176,5569.0244,8153.9937
4687414095839954816,34642,16.88022941109632,-72.8072766098395,20.80701,4393,46,3,0,0.00624,0.00071,-22.1,nan,855.6369,547.88525,1424.2842,14575.871,8104.6343,17312.645
4687415946980947840,34454,17.142352075369764,-72.66515343185189,17.733501,4205,46,3,0,0.00328,0.00015,83.1,nan,3583.6755,2699.1724,5346.5425,3323.2356,2568.3884,4404.73
4687418700044362880,34002,16.894279298909538,-72.66902591994277,13.837356,3753,46,3,0,0.02323,0.0015,75.1,nan,913.20667,900.6829,928.1329,912.3003,900.6241,923.9069
