source_id,ext,err_ext,quality_flags,mod_parallax,err_mod_parallax
1442634851362334976,0.029302519,0.00825883,0,3.4928985,0.017311336
3941748743196409984,0.017573366,0.008981781,0,1.5334963,0.03199465
3940638747552387840,0.036048844,0.008613302,0,3.1971836,0.021800242
3943304479134361472,0.033919338,0.008874123,0,0.6599558,0.020276641
3950362725309458048,0.0101902615,0.004569992,0,2.6553326,0.0142994495
3943271669880088448,0.019454645,0.0071441587,0,1.9667441,0.022033034
3943483635105976192,0.032743912,0.00287259,0,3.7060766,0.019407287
3943072757058707840,0.03846995,0.012104691,0,1.7815509,0.015798867
3943075780715683840,0.029758481,0.010000441,0,1.3832269,0.014233453
3944179591606733696,0.039864622,0.009739032,0,1.0406635,0.022137396
3943828263281804288,0.03763356,0.0073195808,0,1.4645901,0.016209343
3954509297190984448,0.035835646,0.009171766,0,1.624006,0.02018231
3950481854817995264,0.022733843,0.0096592195,0,4.4451847,0.018843155
3925288573092374144,0.04662134,0.010102672,4,3.5918038,0.028831774
3943247618063320576,0.029031811,0.008060939,0,1.0826136,0.024832724
3944041912135238272,0.04108069,0.008922768,4,2.4589243,0.032758806
3943645916150426880,0.015043931,0.009936327,0,3.5736656,0.015122757
3972671064618294272,0.022466665,0.010117815,0,2.6697562,0.015930692
3947190428104948096,0.028154284,0.0047347923,0,3.5076175,0.018149382
3944093245584375680,0.04022631,0.008523026,0,2.4894242,0.016688203
3943398869631331456,0.03964762,0.018636378,0,1.6013272,0.031338952
3942636323957434880,0.026116578,0.008798058,0,3.2086902,0.01818189
3943842763091327232,0.018477598,0.004677907,0,3.5165806,0.020522809
3944045137654653056,0.05817994,0.008519731,0,1.7369736,0.020518353
3950247040365921280,0.3693647,0.012787287,63,0.9357335,0.01713916
3943515830181208704,0.008336763,0.008169886,0,0.7339622,0.016748106
3955799157473550976,0.016830496,0.008871817,0,1.981817,0.017863207
3943110900664214656,0.04496364,0.010422105,0,0.36159754,0.014553434
3972502839339169024,0.03334241,0.011428592,0,3.923928,0.01894437
3926242743026796032,0.028089298,0.009868293,0,4.2124453,0.07600265
3947245682859954560,0.042055,0.012467223,7,1.9200966,0.10889197
3972673809101621760,0.034816843,0.010518428,0,1.5337635,0.0148138665
3943541599984583168,0.025162185,0.00807484,0,0.4052535,0.013802714
3947241765849806464,0.03989217,0.012187302,0,0.83861715,0.01680991
3947290792900428672,0.020590313,0.010011341,0,3.6324213,0.014793269
3950225428090483968,0.026054129,0.010071571,0,1.9797875,0.017546235
3943314791351751296,0.049692966,0.00966859,0,2.5610616,0.079949185
3954711023214738688,0.022348616,0.008415146,0,3.577841,0.018603928
3940516667402643328,0.017421316,0.007647069,0,0.36784804,0.013334065
3942841176718145408,0.049057078,0.0092529645,0,1.7201905,0.027068244
3943450203080467200,0.03519529,0.0047954293,0,2.4537725,0.016735146
3942175078829916800,0.025037589,0.010362933,0,1.6009747,0.019088691
3940624733074959360,0.024919989,0.008956466,0,2.3868735,0.025431003
3944154818235478272,0.021322176,0.007816908,0,1.2100495,0.01862252
3950422824787515520,0.026038896,0.009356614,0,1.1597989,0.017731763
3954187758759011584,0.017169315,0.008413407,0,3.1344438,0.026147602
3973353960122615168,0.0032248513,0.011164765,6,3.4234533,0.103541724
