Name,ra,dec,p_percent,sigma_p_percent,FilterID,sample,r_med_photogeo,distance_class,ebv,ebv_err,ipix
Mark_70,179.81372,16.97037,0.26460281795034485,0.03811472143312126,-1,RoboPol,,robopol,0.10363789,0.0040002856,28566896
Mark_71,198.32007,21.59244,0.16131657992363257,0.028621897167485075,-1,RoboPol,,robopol,0.08037723,0.0031469362,28693300
Mark_72,192.54263,20.07625,0.42061984288690313,0.05000661290732399,-1,RoboPol,,robopol,0.06847406,0.0017537839,28683858
Mark_74,198.03603,21.6534,0.1637991187592741,0.07203429734743781,-1,RoboPol,,robopol,0.058763597,0.0016689247,28693409
Mark_75,191.89113,20.23809,0.25958687322656443,0.08414592549889986,-1,RoboPol,,robopol,0.057643417,0.0011372936,28771361
Mark_76,187.65404,18.06968,0.3876801024643497,0.10074631634787465,-1,RoboPol,,robopol,0.07793158,0.002128631,28723436
Mark_78,195.46664,21.80978,0.14486809274746665,0.07706600049155411,-1,RoboPol,,robopol,0.038026508,0.0005846545,28697548
Mark_79,187.62355,18.77921,0.26847074726266845,0.04400138572756484,-1,RoboPol,,robopol,0.06419258,0.0014579892,28729669
Mark_81,188.01074,18.02063,0.17392390222983892,0.05865785542732649,-1,RoboPol,,robopol,0.0688276,0.001518361,28723489
Mark_83,184.34114,19.05303,0.38623192578925236,0.06098790382182731,-1,RoboPol,,robopol,0.049870797,0.0013298161,28742472
Mark_84,184.5835,19.01308,0.27984677798815494,0.024079997621994566,-1,RoboPol,,robopol,0.05399685,0.0015083126,28742128
Mark_85,174.02637,15.67919,0.3246746905209771,0.0759960032882953,-1,RoboPol,,robopol,0.16306387,0.007509263,28903743
Mark_86,191.77885,20.02359,0.11235838937304962,0.05050726087243891,-1,RoboPol,,robopol,0.05767916,0.0010411696,28770627
Mark_89,185.9707,19.05754,0.27205835875670537,0.10396171632643654,-1,RoboPol,,robopol,0.06510448,0.001748072,28720627
Mark_92,184.13316,19.0139,0.2946092242259865,0.062223453256568896,-1,RoboPol,,robopol,0.046832465,0.0011933527,28742444
Mark_95,174.23676,16.17048,0.2782433922034905,0.07758428560510765,-1,RoboPol,,robopol,0.1474201,0.005886786,28904680
Mark_96,198.50754,21.06732,0.45092872796984285,0.03592097435050383,-1,RoboPol,,robopol,0.061379693,0.00200803,28692569
Mark_99,173.92136,15.51353,0.04879242411121368,0.088876448109785,-1,RoboPol,,robopol,0.14772892,0.006755124,28903714
Mark_104,195.82549,20.35185,0.27916487458628664,0.0331024368518376,-1,RoboPol,,robopol,0.038455255,0.0006077767,28679676
Mark_105,191.74118,21.92971,0.25539995562669277,0.06053618664268862,-1,RoboPol,,robopol,0.04529347,0.00067274587,28777032
Mark_106,194.83186,22.69265,0.29840950767699786,0.079671025376889,-1,RoboPol,,robopol,0.041810714,0.00077658397,28700334
Mark_110,185.77832,18.27509,0.42159319687626884,0.08199050948044447,-1,RoboPol,,robopol,0.05990944,0.0013979088,28718777
Mark_112,199.77525,20.8951,0.40373176264010285,0.06054604737801554,-1,RoboPol,,robopol,0.05748372,0.0014253098,28670995
Mark_116,184.40889,19.57923,0.3039868768340192,0.039027603643496306,-1,RoboPol,,robopol,0.06183851,0.0015813211,28743357
Mark_118,195.64954,20.84596,0.4189634202794606,0.055569775957799224,-1,RoboPol,,robopol,0.03293758,0.00020674463,28691132
Mark_119,199.39124,20.75375,0.3050359651891236,0.07150300071073874,-1,RoboPol,,robopol,0.0513889,0.001124291,28670315
Mark_121,184.94878,18.51457,0.453199581569272,0.04362922400932524,-1,RoboPol,,robopol,0.057351872,0.0015384714,28719978
Mark_122,184.34711,19.69882,0.172642984975216,0.07723438592331608,-1,RoboPol,,robopol,0.061831195,0.0015964243,28744776
Mark_123,185.54079,19.79519,0.40476621020028675,0.05840124805786352,-1,RoboPol,,robopol,0.059534337,0.001213331,28754076
Mark_124,180.18828,16.48499,0.681952598366394,0.05501405171671063,-1,RoboPol,,robopol,0.08123407,0.0024195474,28560874
Mark_127,199.97675,21.85439,0.1643249391993272,0.059665599094285954,-1,RoboPol,,robopol,0.04398822,0.0006826316,10496550
Mark_128,195.46991,20.37368,0.2736028191380751,0.060474008614364486,-1,RoboPol,,robopol,0.048492264,0.0009309759,28679996
Mark_131,199.4996,21.72981,0.13262690110020303,0.047282545996973076,-1,RoboPol,,robopol,0.052696567,0.0012755694,28671920
Mark_132,196.40727,21.11963,0.49609416529476463,0.058509151272424884,-1,RoboPol,,robopol,0.047991104,0.0008498941,28691316
Mark_141,184.92867,18.98709,0.29669523652759106,0.05114501357701553,-1,RoboPol,,robopol,0.06475328,0.001755776,28742671
Mark_144,195.69051,20.66197,0.26206963671742783,0.06298169164799163,-1,RoboPol,,robopol,0.037133187,0.00041063668,28691077
Mark_149,187.94492,18.38639,0.2214116755177275,0.03417107144041492,-1,RoboPol,,robopol,0.070574574,0.0015139229,28723691
Mark_150,198.06357,21.00644,0.273091175686243,0.04238842750200939,-1,RoboPol,,robopol,0.058501504,0.0018803208,28692619
Mark_151,197.65523,20.61476,0.2621177566436948,0.049644994896550665,-1,RoboPol,,robopol,0.04111403,0.0007763604,28689630
Mark_154,197.63448,20.63803,0.3765155545535132,0.058878928791459666,-1,RoboPol,,robopol,0.040526412,0.0007473162,28689652
Mark_163,172.77328,16.05559,0.7911453111262293,0.0619025521633086,-1,RoboPol,,robopol,0.12719668,0.0046387496,28909746
Mark_164,172.63016,15.81605,0.5885436098537618,0.08560596734599711,-1,RoboPol,,robopol,0.13763666,0.00526808,28865996
Mark_166,172.40683,15.99918,0.27291606853486605,0.07598554731654959,-1,RoboPol,,robopol,0.13141759,0.004943807,28866404
Mark_167,188.16794,18.48618,0.296033139209662,0.05011867653370639,-1,RoboPol,,robopol,0.091239735,0.0028186042,28724386
Mark_168,196.41862,21.67955,0.08279086183765796,0.05559017344448017,-1,RoboPol,,robopol,0.040292535,0.0005737083,28697683
Mark_171,197.54263,22.04166,0.15984789563519594,0.050927171729507455,-1,RoboPol,,robopol,0.04835949,0.0010215946,28695127
Mark_182,185.09541,20.1586,0.15154285590865801,0.055419075119211424,-1,RoboPol,,robopol,0.05657202,0.0009796121,28754611
Mark_183,190.74332,20.88957,0.4206732457373274,0.04995695538678829,-1,RoboPol,,robopol,0.048530683,0.0008963485,28772842
Mark_184,187.15863,18.2637,0.17747607389656864,0.07344431333278673,-1,RoboPol,,robopol,0.07082512,0.0017817136,28723896
Mark_188,172.38278,16.02621,0.23502692286849458,0.10294745612823127,-1,RoboPol,,robopol,0.13173911,0.0049769944,28866406
Mark_189,185.06535,19.8305,0.24332441081186598,0.05799538442112734,-1,RoboPol,,robopol,0.060478184,0.001288352,28743538
Mark_191,179.37923,16.02372,0.39606026974712455,0.04006654988297366,-1,RoboPol,,robopol,0.08949257,0.0029452497,28560233
Mark_192,196.62993,20.90077,0.25835781999175567,0.02525362922675092,-1,RoboPol,,robopol,0.04810755,0.0009782028,28690902
Mark_193,195.53589,21.06934,0.5635510673402635,0.08548858485442692,-1,RoboPol,,robopol,0.03551728,0.00031338792,28696681
