# Star   JD           PD[%]   sPD  EPVA[deg] sEVPA     q       sq        u       su
Mark_13         2460432.30543     0.34   0.40  -47.35   61.44 -0.00028  0.00406 -0.00341  0.00398
Mark_14         2460459.34591     0.14   0.21   35.27   61.44  0.00048  0.00218  0.00135  0.00212
Mark_14         2460459.34617     0.33   0.21   15.32   25.72  0.00281  0.00216  0.00167  0.00211
Mark_14         2460459.34644     0.79   0.21   30.66    8.20  0.00379  0.00220  0.00693  0.00213
Mark_14         2460459.34669     2.18   0.22    8.68    2.92  0.02077  0.00221  0.00649  0.00214
Mark_14         2460459.34694     0.38   0.21   53.04   19.82 -0.00106  0.00218  0.00369  0.00211
Mark_14         2460459.34720     0.67   0.21   39.87    9.83  0.00120  0.00218  0.00661  0.00214
Mark_14         2460459.34745     0.57   0.21   51.39   11.98 -0.00125  0.00217  0.00552  0.00213
Mark_14         2460459.34771     0.86   0.21   33.67    7.48  0.00331  0.00218  0.00792  0.00214
Mark_14         2460459.34803     0.43   0.21   50.72   16.94 -0.00085  0.00219  0.00422  0.00212
Mark_14         2460459.34829     0.17   0.22   22.86   61.44  0.00119  0.00219  0.00122  0.00213
Mark_15         2460426.44214     0.76   0.20   55.56    7.88 -0.00272  0.00203  0.00705  0.00197
Mark_15         2460426.44236     0.88   0.21   74.71    7.11 -0.00756  0.00211  0.00447  0.00204
Mark_15         2460426.44293     0.64   0.21   87.84    9.92 -0.00639  0.00206  0.00048  0.00201
Mark_15         2460426.44315     1.06   0.21   79.38    5.71 -0.00989  0.00207  0.00384  0.00202
Mark_15         2460426.44337     0.79   0.22   12.04    8.56  0.00718  0.00224  0.00321  0.00214
Mark_15         2460426.44359     1.16   0.23  -78.54    5.78 -0.01066  0.00228 -0.00451  0.00224
Mark_15         2460426.44381     1.08   0.22   88.81    6.12 -0.01084  0.00225  0.00045  0.00218
Mark_15         2460426.44411     0.85   0.21   88.39    7.52 -0.00850  0.00214  0.00048  0.00207
Mark_16         2460426.42442     0.21   0.36  -34.06   61.44  0.00079  0.00384 -0.00196  0.00361
Mark_16         2460426.42488     3.60   0.37    1.85    2.99  0.03594  0.00374  0.00233  0.00333
Mark_16         2460426.42520     1.00   0.36   13.86   11.21  0.00884  0.00364  0.00465  0.00331
Mark_16         2460426.42551     0.50   0.32   12.27   24.45  0.00453  0.00321  0.00207  0.00297
Mark_16         2460426.42600     0.30   0.26   25.66   61.44  0.00190  0.00269  0.00237  0.00248
Mark_16         2460426.42646     0.65   0.25   -3.81   12.56  0.00643  0.00254 -0.00086  0.00242
Mark_16         2460426.42677     0.44   0.24  -13.44   19.46  0.00393  0.00242 -0.00199  0.00231
Mark_16         2460426.42730     1.20   0.26   11.31    6.42  0.01112  0.00264  0.00463  0.00249
Mark_17         2460459.37992     0.15   0.14   85.90   61.44 -0.00152  0.00145  0.00022  0.00141
Mark_17         2460459.38014     0.04   0.14  -68.99   61.44 -0.00030  0.00145 -0.00027  0.00141
Mark_17         2460459.38036     0.35   0.14   56.68   12.83 -0.00140  0.00144  0.00324  0.00140
Mark_17         2460459.38058     1.21   0.14    2.27    3.41  0.01209  0.00143  0.00096  0.00142
Mark_17         2460459.38080     0.44   0.14   77.96   10.14 -0.00403  0.00145  0.00180  0.00141
Mark_17         2460459.38102     0.74   0.14   61.63    5.69 -0.00403  0.00145  0.00615  0.00141
Mark_17         2460459.38124     0.26   0.14  -74.99   19.52 -0.00228  0.00145 -0.00132  0.00141
