#Name   JD    P[%]   sP[%]    PA[deg]  sPA[deg]   q        sq       u        su
Mark_294        2460461.32420   0.17   0.08   27.56   15.36  0.00097  0.00117  0.00140  0.00049
Mark_295        2460461.34499   0.30   0.04   49.52    4.03 -0.00048  0.00041  0.00299  0.00042
Mark_297        2460431.51647   0.11   0.09    2.90   61.44  0.00112  0.00093  0.00011  0.00092
Mark_298        2460461.34905   0.25   0.03   35.18    3.55  0.00085  0.00043  0.00238  0.00029
Mark_301        2460459.37111   0.17   0.03   42.17    6.00  0.00017  0.00040  0.00169  0.00035
Mark_302        2460460.35114   0.29   0.09   73.33    9.50 -0.00239  0.00100  0.00157  0.00056
Mark_305        2460438.31873   0.25   0.04  -87.92    5.22 -0.00246  0.00044 -0.00018  0.00047
Mark_307        2460459.35014   0.30   0.05   56.76    5.03 -0.00119  0.00050  0.00274  0.00052
Mark_308        2460431.28536   0.05   0.09  -15.07   61.44  0.00042  0.00102 -0.00024  0.00060
Mark_310        2460460.29519   0.88   0.07   30.77    2.15  0.00420  0.00090  0.00774  0.00057
