Name,ra,dec,l,b,pix,q_gal,u_gal,sq_gal,su_gal,I_planck_KCMB,Q_planck_KCMB,U_planck_KCMB,sQ_planck_KCMB,sU_planck_KCMB
10589,187.8901641134584,21.57676397858392,262.6802267033886,82.83855953852218,3112709,0.021908074408907678,0.14839149664213838,0.020709838472392973,0.020242323852271808,0.0006028630608600353,1.6962988077689195e-05,-6.718583459650577e-05,0.0,0.0
6892,192.06843975153325,20.87922330019477,296.1711430553728,83.70939357561282,4187006,-0.25321641034224407,0.07106651485325759,0.033003822423492354,0.03304573758215881,0.0009032361424287992,6.92686189989083e-05,-2.69966252436816e-05,0.0,0.0
6905,191.627989629478,21.052616140095765,292.1916628991228,83.82138022867295,4187116,-0.1688670703511526,0.12483554201836468,0.03983641224402338,0.0397486937425769,0.001084166454520899,3.763596878836844e-05,-9.81581511523986e-05,0.0,0.0
6940,192.4581280123384,21.64084734215838,299.0363421600204,84.50044782448948,4187862,-0.15431112034643457,0.15680586129806562,0.049958186560280296,0.049958265006859404,0.001201679937529993,7.05279003977857e-05,-5.175100883844499e-05,0.0,0.0
11530,193.52082387459296,21.735052367565057,309.4416791472848,84.57333176487063,4187611,-0.23461702949284174,0.11204842467413378,0.01913202326447685,0.019064099429262862,0.0012411303146702244,6.676684868964196e-05,-1.2565805742958076e-05,0.0,2.0107004410632347e-05
6939,191.9626130292332,21.63659745764265,294.28261420380346,84.44799778217828,4187839,-0.0517181106460536,0.11926959810111945,0.029974418698825375,0.029975452232567864,0.0011025414660108738,3.360866809161008e-05,-6.685241857279217e-05,0.0,0.0
7001,192.57256401209543,22.863119489578537,299.381499785132,85.72695322014594,4192259,-0.028389631479035456,0.00969684611018239,0.019877598724843806,0.01939468107623441,0.0009509603495004184,-3.424918642580723e-06,-1.823696828540449e-05,0.0,0.0
6906,189.780085588556,21.062518514831567,277.42217510514826,83.31545494705558,4177739,0.017898508258042355,-0.008924315219488247,0.01951957398988866,0.019074653174412263,0.0011131759844439453,-2.10522138039743e-05,-5.702471677922891e-05,0.0,0.0
6952,188.78412717134947,21.88129422630378,266.8141159786105,83.5761977785214,3112901,-0.14125707869152263,0.2532714704018931,0.0497048695054224,0.049897994757696074,0.0007941531343895244,-4.954401446071857e-07,-3.6454902032862826e-05,0.0,0.0
6990,189.758867313479,22.659412701252656,270.0809917059901,84.7204249519609,4188922,-0.02518549214845669,-0.016300030222058674,0.03123985720304747,0.03023202905775962,0.0007537224384407794,-3.6824157092868856e-05,-2.4224060419065744e-06,0.0,0.0
6987,188.7125201348698,22.629307200604952,262.13593962460794,84.13646950196184,3134872,-0.01825684954421204,0.008166238100864113,0.029771397042792715,0.029455387616274243,0.000634218746370457,-5.408517534916911e-06,-2.6746028130789843e-05,0.0,0.0
11502,178.91893523107814,15.646827758921887,251.67112673381854,72.6973822311818,3008271,0.18925964648025825,0.2580325293721078,0.021251614239589267,0.021153110239164115,0.0012221572423296904,-8.777966054149857e-05,-6.212529543647989e-05,2.3679480185369245e-05,0.0
11519,179.7685299209624,17.352018202584407,249.17727756896517,74.45105129399063,3010443,-0.07746103369522077,-0.019994705770975296,0.038333764459675304,0.035404295765512094,0.0010140364805465312,-1.6733213072851401e-06,-3.9053640924797203e-05,2.8652741405949505e-05,0.0
