GID,starID,RA,DEC,l,b,origin
3925169894556087680,11510,179.2752461830664,15.184031052746048,253.58504400372394,72.61563371329972,external_panopoulou_2025
3925246860369949824,11502,178.91893523107814,15.646827758921887,251.67112673381854,72.6973822311818,external_panopoulou_2025
3925530774887997056,11491,181.1768797819049,16.26891660156005,255.6256343659296,74.6646099364702,external_panopoulou_2025
3925634747456327424,6671,182.6317265027292,16.809279468662897,258.3031894212551,75.99814024206212,external_panopoulou_2025
3926019404727025408,11512,178.48456518694869,15.908434490388842,250.07367132057152,72.57146632794486,external_panopoulou_2025
3926035141487198848,11513,178.35460499784614,15.98350394229992,249.60814996631453,72.52946669307461,external_panopoulou_2025
3926601527414968704,11519,179.7685299209624,17.352018202584407,249.17727756896517,74.45105129399063,external_panopoulou_2025
3931534417613368448,10595,193.98793799711515,16.22774259451418,308.6447700741911,79.04938911909922,external_panopoulou_2025
3933113007073286272,10482,186.6244814371768,14.571973890347971,276.8557249949816,76.16486837589002,external_panopoulou_2025
3933474643318982016,10460,189.21235037126868,15.222803908883744,286.29474166086914,77.62079819753764,external_panopoulou_2025
3933512679549386624,10461,189.43872914245011,15.57576633961243,286.8587468011935,78.01836436162675,external_panopoulou_2025
3933748834031261824,10483,187.8460202504528,16.22067579094846,278.82792227100117,78.14323912822822,external_panopoulou_2025
3934385451263677568,6659,191.6615742646648,16.57775849104139,296.68366184894273,79.39132975242829,external_panopoulou_2025
3934494646512883072,6631,193.11435032749236,16.12242911944763,304.2142775966533,78.9916382130246,external_panopoulou_2025
3934695788422370944,6683,193.0510772752133,17.07391551054429,303.9809261663078,79.94410206637583,external_panopoulou_2025
3935130748348712832,10592,189.7879026688024,16.479823280170343,287.3418839907713,78.9778843992495,external_panopoulou_2025
3935409852503497600,6684,189.2428748001843,17.089457101211003,283.7631742959715,79.41884140219013,external_panopoulou_2025
3935474826768615936,10484,189.7581349052605,17.43717232629993,285.824081830281,79.89442548766141,external_panopoulou_2025
3935966136667526272,10446,190.0930565997092,18.33996569686603,286.1881436250807,80.84989585764767,external_panopoulou_2025
3937361863600610560,6643,194.92890899100504,16.287310056823454,313.3891715631901,78.99062451738322,external_panopoulou_2025
3938234600954772608,10560,196.4314170880693,18.53836268435251,324.62035406062574,80.80260696272185,external_panopoulou_2025
3939343389711719808,10571,200.11293912521225,19.690938819307068,346.2641829495037,80.02428719764634,external_panopoulou_2025
3939784018997099904,6824,199.13387829209356,19.785421332335048,342.323327990263,80.67416977669502,external_panopoulou_2025
3939785599545548800,10568,199.1847417767847,19.815294765021093,342.6700077730459,80.66917897852211,external_panopoulou_2025
3940602742842370176,10567,198.9903442233024,21.38170128472897,348.4402826607952,81.98625670010789,external_panopoulou_2025
3941433286438418944,10598,196.05180717253933,19.397284840504163,324.3578773867482,81.73268209057667,external_panopoulou_2025
3941895081321728896,10594,192.79966959473785,19.16146954687489,302.5243183927066,82.03302779468285,external_panopoulou_2025
3942259878663841152,6847,193.006057216531,20.16965730945409,304.067472565521,83.04011212396769,external_panopoulou_2025
3942650755047529856,10456,193.44191807791717,20.65084836193759,307.75259958859533,83.50077827793653,external_panopoulou_2025
3942757338955937408,6914,193.32370384330227,21.244858547528302,307.1459067314309,84.10140687830709,external_panopoulou_2025
3942863716706494080,6936,193.6580027429304,21.585081707128797,310.57621819215393,84.40935953396932,external_panopoulou_2025
3942930889994910336,10561,196.97861987126907,19.932485395552508,331.474068295895,81.8752488855107,external_panopoulou_2025
3942952193032058880,10563,197.4277964710955,20.13398574347265,334.77424353118096,81.85136435876471,external_panopoulou_2025
3943094476709294336,10566,198.1143677342611,20.841565792211703,341.40443752567603,82.09216518108533,external_panopoulou_2025
3943394845252502144,6911,196.58817276955995,21.153192347741985,333.375601368295,83.12529985142996,external_panopoulou_2025
3944129495108278912,10558,195.06468254829204,21.554383742983784,323.21881678862576,84.07551062985509,external_panopoulou_2025
3944170417556586880,10559,196.264419242409,21.493984909873497,332.4939512738719,83.56877925139723,external_panopoulou_2025
3944504806530617344,10413,195.7475489460168,22.63746328591593,333.8114773093648,84.80140450450762,external_panopoulou_2025
3944674165681089408,6986,196.59431417449852,22.61599168502199,340.6393029857666,84.35806399054414,external_panopoulou_2025
3946262616384600448,6714,186.88771450013172,17.834233148083452,271.0371793706822,79.19624107294256,external_panopoulou_2025
3946300240299235712,10467,184.11821766277035,16.028386213575217,265.00242479755724,76.25372184310925,external_panopoulou_2025
3946438125929224320,48772,184.77628126563016,16.547634275964707,265.9945765272666,77.03866396105683,external_panopoulou_2025
3946615765776537472,10466,183.80651719697173,16.907490198302867,261.7384320484722,76.78630044141481,external_panopoulou_2025
3947248397279260160,10485,184.74679327474672,18.450118934935208,260.5225873201465,78.55127696505552,external_panopoulou_2025
3947649169267207296,6767,188.78232141709483,18.377162032190192,278.86126675178167,80.47763763282992,external_panopoulou_2025
3947710192163740672,10475,187.472826803316,17.909815697478248,273.49359806489434,79.52833630350075,external_panopoulou_2025
3948532931806559616,11518,187.0213363945747,18.330640768166,270.28319001429384,79.68968058631975,external_panopoulou_2025
3948574854979455616,10445,187.39404473752745,18.82831101730795,270.59415921387784,80.29760087500333,external_panopoulou_2025
3948747237786475264,10476,187.3529093655896,19.31534343707705,268.87137790046006,80.6948915641779,external_panopoulou_2025
3948751154796651776,11516,187.5360417240259,19.341807268959933,269.7020937818927,80.80775926291575,external_panopoulou_2025
3948805374464063744,10447,187.7215846629333,19.891654276439123,268.8033220694222,81.36767802118679,external_panopoulou_2025
3948915222546236928,10481,185.83597203965883,19.65975126637421,260.67969774445913,80.13941458328792,external_panopoulou_2025
3949066989511807104,10487,187.0241687071146,20.35439450004905,263.45670450699305,81.37677487617111,external_panopoulou_2025
3949475561160534784,6893,187.43029191225077,20.895967030089807,263.2792609338288,82.03792212540813,external_panopoulou_2025
3951561575236309120,6869,183.03863464056096,20.54198208549202,247.10607482097205,78.86877156359144,external_panopoulou_2025
3951825148789721472,10470,182.91704785401475,21.31919056158047,243.45575773573367,79.23860548982651,external_panopoulou_2025
3952117962479972608,6896,186.65693794906892,20.95220775384171,259.097605780674,81.62291426956912,external_panopoulou_2025
3952326491732006144,10486,184.835572116784,21.147036170590987,250.47166390599543,80.55019251485363,external_panopoulou_2025
3952621435726273536,10589,187.8901641134584,21.57676397858392,262.6802267033886,82.83855953852218,external_panopoulou_2025
3952673422010412032,14645,187.9217851357539,22.123463674046683,259.98728533673125,83.27895971531302,external_panopoulou_2025
3953878757336624384,7075,186.31322150232552,23.9260212052633,239.95193721647902,83.2823245617619,external_panopoulou_2025
3954409585229559168,6892,192.06843975153325,20.87922330019477,296.1711430553728,83.70939357561282,external_panopoulou_2025
3954430132353974016,6905,191.627989629478,21.052616140095765,292.1916628991228,83.82138022867295,external_panopoulou_2025
